Price,Close,High,Low,Open,Volume
Ticker,SUZLON.BO,SUZLON.BO,SUZLON.BO,SUZLON.BO,SUZLON.BO
Date,,,,,
2005-10-20,122.84957885742188,134.69051293524345,120.8760970831598,132.26159335799179,20822595
2005-10-21,127.7358627319336,130.00347487553617,120.87609386275345,122.28979181784902,13090610
2005-10-24,123.97863006591797,130.84788831410185,122.96343030841999,129.60497329933187,6738485
2005-10-25,125.05077362060547,125.98058561632692,121.87231500771858,124.10198173346494,3703945
2005-10-26,130.5347900390625,131.58794961666885,123.36192566289625,125.24052955250757,8216135
2005-10-27,128.24819946289062,133.53297729823046,125.43028636000156,130.53479141784644,8049435
2005-10-28,124.14942932128906,127.85919474950812,123.54220306768102,126.18932617143997,3383785
2005-10-31,135.62033081054688,136.62604801426517,124.48150751751375,125.0128287211825,7120970
2005-11-02,139.8708953857422,140.78174194871013,129.85165558016942,134.53868972254807,10292425
2005-11-07,137.6602020263672,142.1574804760507,136.44574965198598,138.52360605926117,6108570
2005-11-08,144.6243438720703,150.2886327321775,138.14410786779536,138.14410786779536,8239190
2005-11-09,141.57875061035156,149.33986261654994,140.35480076064886,145.20312870672404,9875440
2005-11-10,144.4535675048828,146.2467836258468,141.3699938143024,141.5787291915503,5911920
2005-11-11,147.13865661621094,148.48593944126344,144.96591495409436,145.28851521833656,5019855
2005-11-14,142.69830322265625,147.9735986158384,141.9867092614846,146.8160712808059,4429495
2005-11-16,142.67933654785156,145.8293182599068,141.97722530049063,143.153732517778,2670110
2005-11-17,144.87103271484375,146.98683452788154,142.3187802722418,142.86908129325096,4207670
2005-11-18,143.3814239501953,147.23351665794104,142.60342213860184,145.5826280560015,2946940
2005-11-21,141.1612548828125,144.95642240643141,140.14605509850034,144.21636589751895,3839715
2005-11-22,138.571044921875,142.69828055459683,137.9827841627771,141.33203252720958,3617535
2005-11-23,140.42120361328125,141.65463599996212,138.7323551604499,138.7323551604499,2412295
2005-11-24,141.00946044921875,143.40042030969548,140.25043844169184,140.97151513980913,2517935
2005-11-25,144.0835418701172,144.69076812116842,141.21818621168057,141.56924906750254,2879655
2005-11-28,155.7441864013672,156.53168542479557,146.68323523315175,147.95461291932574,6971810
2005-11-29,162.4521484375,164.33075232456093,156.26602126584055,156.26602126584055,8998890
2005-11-30,161.56028747558594,168.86598238653983,159.52039063228736,163.1922107411911,9450380
2005-12-01,163.86585998535156,164.45410634697072,156.5506678624435,161.29462749463875,3519750
2005-12-02,158.86570739746094,166.12395915469284,157.95486086448747,164.33074316305823,3237425
2005-12-05,160.21299743652344,161.84492062832305,159.01752487958822,159.77654680165907,2363320
2005-12-06,155.88650512695312,162.15801988590374,155.26029902624592,160.90560768448935,3356395
2005-12-07,154.33998107910156,158.63800735164693,152.58472470001766,156.7404234970162,4422190
2005-12-08,156.7593994140625,157.6892114255765,154.66256293780506,155.6018721338976,2692855
2005-12-09,168.8375244140625,170.73510831189387,157.49946352000333,157.86000909336448,6702140
2005-12-12,172.0539093017578,177.93641583173698,165.29851601367727,170.28915589502262,11918660
2005-12-13,173.25889587402344,175.96295868043555,172.30062123129665,173.43916865810638,4256850
2005-12-14,177.15843200683594,179.58733705426965,171.92109644992192,173.81868032790652,6107985
2005-12-15,171.30438232421875,180.213537784091,168.5054490839236,177.99336818825677,4857865
2005-12-16,175.31777954101562,176.4942867989242,171.6364620545085,171.73134704273633,3357520
2005-12-19,174.57769775390625,178.54364067763495,172.70857667954354,176.3614310376427,2531335
